Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
1-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,9.5121,1.5042 ,0,173.6943359,34.82519531,336.1015625,1.34440625
1-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,10.3501,1.6520 ,0.00021,65.11523438,64.49902344,118.2119141,0.525386285
1-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,9,2 ,0,55.02734375,11.32910156,99.89160156,0.454052734
1-Nov-18,GGSDR02,Khulna,Gopalganj Bkb,450,11.2518,1.7020 ,0.000139,5.211914063,0.79296875,10.91894531,0.024264323
1-Nov-18,JHHRK01,Khulna,"Kulbaria land, Horinaku",175,9,2 ,0.0004,42.12597656,8.775390625,94.51269531,0.540072545
1-Nov-18,JHKLG05,Khulna,Khorar Bazar 32m Land,400,8,1 ,0.0004,118.1699219,25.46386719,238.5253906,0.596313477
1-Nov-18,JSCGH03,Khulna,Porapara Bazar,260,10.05,2.0998 ,0.000322,59.33984375,12.48828125,125.9326172,0.48435622
1-Nov-18,JSKSB05,Khulna,Sagordari 32m land,350,10.609,1.6576 ,0,157.4042969,28.94140625,303.4765625,0.867075893
1-Nov-18,JSSDR10,Khulna,Bashundia bazar land 55,275,9,2 ,0.0004,181.3554688,36.53417969,344.9824219,1.254481534
1-Nov-18,JSSDRT1,Khulna,Jessore,250,11.1865,8.7612 ,0,96.95996094,19.17773438,195.7050781,0.782820313
1-Nov-18,KHDMR06,Khulna,Shahapur Land,275,8.9399,1.7316 ,0.000069,52.60351563,10.09472656,124.6914063,0.453423295
1-Nov-18,KHPKG01,Khulna,Kapilmuni land 55m,175,11,1 ,0.0004,147.2304688,27.34960938,52.125,0.297857143
1-Nov-18,KHRPS01,Khulna,Rupsha,150,11.0645,9.0225 ,0.0004,108.8037109,23.76757813,213.9863281,1.426575521
1-Nov-18,MAMDP01,Khulna,Mohammadpur land 55m,185,7,1 ,0,54.19726563,10.66796875,105.2363281,0.568845017
1-Nov-18,MASDR07,Khulna,Dhonpara Bazar_32m  Land,600,7.1295,1.0570 ,0,108.9970703,21.28125,242.3603516,0.403933919
1-Nov-18,NRSDR06,Khulna,Tularampur 32m,225,8,1 ,0,26.26171875,5.2734375,58.82910156,0.261462674
1-Nov-18,NRSDR10,Khulna,Ramchandrapur 32m land,175,8,1 ,0.0004,32.99902344,6.358398438,74.63085938,0.426462054
1-Nov-18,SKASN02,Khulna,Assasuni_land_75m,375,10,2 ,0,160.4287109,29.18945313,322.75,0.860666667
2-Nov-18,BGMRL06,Khulna,Kailkabari 32m land,250,7.9844,1.8160 ,0.000278,147.6835938,0.14422226,291.8369141,1.167347656
2-Nov-18,GGMKS01,Khulna,Banierchar backbone 75m,225,5.025,1.7061 ,0.000347,57.47363281,0.056126595,103.1796875,0.458576389
2-Nov-18,GGMKS02,Khulna,Muksedpur land 55m,220,4,1 ,0.0004,42.79589844,0.04179287,82.72167969,0.376007635
